iter	Logloss
114	0.4424037068
115	0.442264446
116	0.4422058733
117	0.4421304332
118	0.4420838615
119	0.4419282541
120	0.441781657
121	0.4417317676
122	0.4416516804
123	0.4416091811
124	0.4415504553
125	0.4415047769
126	0.4414585615
127	0.4414069036
128	0.4412663176
129	0.4412254472
130	0.4411284881
131	0.4410030352
132	0.4409966919
133	0.440931807
134	0.4409038892
135	0.4407680922
136	0.4407247209
137	0.4406641855
138	0.4405970219
139	0.4405430425
140	0.4404843184
141	0.4404062472
142	0.4403313092
143	0.4402899081
144	0.4401633899
145	0.4401059118
146	0.44003728
147	0.4400079372
148	0.4399373535
149	0.4398850436
150	0.4398341508
151	0.4397435514
152	0.4396876946
153	0.4396584072
154	0.4396006715
155	0.4394714394
156	0.4394303824
157	0.4393838443
158	0.4393348457
159	0.4392568119
160	0.4392329198
161	0.4391898937
162	0.4391628955
163	0.4391012786
164	0.4390519515
165	0.4390166977
166	0.4389555562
167	0.4389132077
168	0.4388498798
169	0.4388277242
170	0.4388108883
171	0.4387696223
172	0.4386861585
173	0.4386648495
174	0.4386382205
175	0.4386113735
176	0.4385608529
177	0.4385075621
178	0.4384746528
179	0.4384363249
180	0.4383650756
181	0.4383196666
182	0.4382498945
183	0.4381540151
184	0.4381151359
185	0.4380704706
186	0.4380360619
187	0.4379895678
188	0.4379499207
189	0.4379118038
190	0.4378508812
191	0.4378326934
192	0.437799379
193	0.4377797906
194	0.4377288566
195	0.4377025568
196	0.4376527321
197	0.4376087872
198	0.4375817142
199	0.4375201315
200	0.437488991
201	0.4374515026
202	0.4373852658
203	0.4372985147
204	0.4372627195
205	0.437223867
206	0.4371790233
207	0.437117224
208	0.4370584661
209	0.4370121242
210	0.4369792009
211	0.4369334475
212	0.4368888344
213	0.4368383472
214	0.4368178605
215	0.4367566289
216	0.4367283225
217	0.4367048188
218	0.4366715615
219	0.4366187421
220	0.4365875414
221	0.43652557
222	0.4364877379
223	0.436448388
224	0.4364211293
225	0.4363579132
226	0.4363420982
227	0.4363018776
228	0.4362684406
229	0.4362322903
230	0.4361961685
231	0.4361797658
232	0.4361654915
233	0.4361256066
234	0.4360884965
235	0.436010442
236	0.43596907
237	0.4359306447
238	0.4358832005
239	0.4358318201
240	0.4357826762
241	0.4357653287
242	0.4357226642
243	0.4357144198
244	0.435686719
245	0.4356680757
246	0.4356200263
247	0.435584162
248	0.4355524099
249	0.4355310267
250	0.4355076369
251	0.4354642216
252	0.4354085475
253	0.4353865068
254	0.4353574941
255	0.4352628336
256	0.4352414829
257	0.4352036374
258	0.4351690616
259	0.4351445009
260	0.4351336417
261	0.4351123826
262	0.4350787714
263	0.4350243867
264	0.4349929399
265	0.4349723118
266	0.4349402652
267	0.4349160642
268	0.434901987
269	0.4348489871
270	0.4347942738
271	0.4347601963
272	0.4347295562
273	0.4346802985
274	0.4346621422
275	0.4346537047
276	0.4346063172
277	0.4345948989
278	0.4345525953
279	0.4345216283
280	0.4344994233
281	0.4344664651
282	0.4344273424
283	0.4343915213
284	0.434354755
285	0.434310949
286	0.4342670803
287	0.4342294809
288	0.4341907775
289	0.4341605302
290	0.4341168106
291	0.4340880239
292	0.4340586167
293	0.4340404496
294	0.4340393726
295	0.4340172508
296	0.4339999746
297	0.4339710112
298	0.4339534197
299	0.433934301
300	0.433915507
301	0.4338864389
302	0.4338554628
303	0.4338328817
304	0.4338291604
305	0.4338109469
306	0.433792367
307	0.4337610521
308	0.4337375106
309	0.4336794369
310	0.4336533642
311	0.4336173929
312	0.4335948891
313	0.4335733247
314	0.4335406982
315	0.4335151212
316	0.4334884873
317	0.4334787387
318	0.4334050157
319	0.4333796137
320	0.4333307541
321	0.4332923347
322	0.4332769473
323	0.4332630175
324	0.4332269999
325	0.4332188067
326	0.4331939985
327	0.433139828
328	0.433113613
329	0.4330784908
330	0.4330659135
331	0.4330653461
332	0.4330327733
333	0.4330015257
334	0.4329379284
335	0.4328885045
336	0.4328390542
337	0.4328204081
338	0.4327802276
339	0.4327574475
340	0.4327334112
341	0.432699409
342	0.432654838
343	0.4326076736
344	0.4325597626
345	0.4325445101
346	0.4324863016
347	0.4324702917
348	0.4324456244
349	0.4324231016
350	0.432359192
351	0.4323266235
352	0.432281958
353	0.4322529411
354	0.432220447
355	0.4321903265
356	0.4321808727
357	0.432156424
358	0.432109103
359	0.4320636074
360	0.4320269082
361	0.4319885937
362	0.4319521757
363	0.4319255055
364	0.4318720693
365	0.4318040566
366	0.4317646842
367	0.4317507034
368	0.4317293492
369	0.431679306
370	0.4316648561
371	0.4316021347
372	0.4315658889
373	0.4315315488
374	0.4315114177
375	0.4314994512
376	0.4314658841
377	0.4314343861
378	0.4314003035
379	0.431356076
380	0.4312844469
381	0.431241024
382	0.4312206218
383	0.4311897991
384	0.4311565253
385	0.4311144005
386	0.431077061
387	0.4310582076
388	0.4310310657
389	0.4309969947
390	0.4309721044
391	0.4309300938
392	0.4309037497
393	0.4308355985
394	0.4307957832
395	0.4307348945
396	0.4307132303
397	0.4306873426
398	0.4306540652
399	0.430623946
400	0.4305809453
401	0.4305309323
402	0.4305218278
403	0.4304936368
404	0.4304515783
405	0.4304235209
406	0.4303954549
407	0.4303817597
408	0.4303559142
409	0.4303074152
410	0.4302540897
411	0.4302165115
412	0.4301727328
413	0.4301338476
414	0.43009251
415	0.4300826126
416	0.4300360219
417	0.429994894
418	0.429962345
419	0.4299419234
420	0.4299182614
421	0.429858193
422	0.4298294449
423	0.4297943186
424	0.4297686814
425	0.4297308722
426	0.4296963206
427	0.4296483295
428	0.4296010647
429	0.4295867844
430	0.4295291442
431	0.4294821686
432	0.4294738272
433	0.4294338753
434	0.4294140485
435	0.4293613477
436	0.4293026951
437	0.4292672746
438	0.4292249818
439	0.4291722132
440	0.4291208811
441	0.4290693029
442	0.4290500102
443	0.4290150253
444	0.4289918479
445	0.4289673921
446	0.4289281202
447	0.4288950028
448	0.4288470424
449	0.4288071591
450	0.4287628449
451	0.4287183633
452	0.4286668838
453	0.4286251792
454	0.4285679359
455	0.4285437232
456	0.4285081808
457	0.4284457521
458	0.4284219138
459	0.428376046
460	0.4283220231
461	0.4283025215
462	0.4282566234
463	0.428247952
464	0.4282301505
465	0.4282042119
466	0.4281504391
467	0.4281052815
468	0.4280542929
469	0.4280300439
470	0.4280000733
471	0.4279566193
472	0.4279159442
473	0.4278987646
474	0.4278328066
475	0.4277861723
476	0.4277577301
477	0.4277403285
478	0.4277173865
479	0.4276799471
480	0.4276455043
481	0.4276028646
482	0.4275801643
483	0.4275216118
484	0.4274718802
485	0.4274324182
486	0.4273936426
487	0.4273465886
488	0.427327109
489	0.4273234124
490	0.4272796961
491	0.4272565064
492	0.4272240767
493	0.4271731063
494	0.4271424992
495	0.4271091935
496	0.4270896949
497	0.4270714411
498	0.427044239
499	0.4269973392
